,text_id,full_text,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,0016926B079C,"I think that students would benefit from learning at home,because they wont have to change and get up early in the morning to shower and do there hair. taking only classes helps them because at there house they'll be pay more attention. they will be comfortable at home.

The hardest part of school is getting ready. you wake up go brush your teeth and go to your closet and look at your cloths. after you think you picked a outfit u go look in the mirror and youll either not like it or you look and see a stain. Then you'll have to change. with the online classes you can wear anything and stay home and you wont need to stress about what to wear.

most students usually take showers before school. they either take it before they sleep or when they wake up. some students do both to smell good. that causes them do miss the bus and effects on there lesson time cause they come late to school. when u have online classes u wont need to miss lessons cause you can get everything set up and go take a shower and when u get out your ready to go.

when your home your comfortable and you pay attention. it gives then an advantage to be smarter and even pass there classmates on class work. public schools are difficult even if you try. some teacher dont know how to teach it in then way that students understand it. that causes students to fail and they may repeat the class.              ",3.5,3.5,3.0,3.0,4.0,3.0
1,0022683E9EA5,"When a problem is a change you have to let it do the best on you no matter what is happening it can change your mind. sometimes you need to wake up and look what is around you because problems are the best way to change what you want to change along time ago. A

problem is a change for you because it can make you see different and help you to understand how tings wok.

First of all it can make you see different then the others. For example i remember that when i came to the United States i think that nothing was going to change me because i think that nothing was going to change me because everything was different that my country and then i realist that wrong because a problem may change you but sometimes can not change the way it is, but i remember that i was really shy but i think that change a lot because sometimes my problems make me think that there is more thing that i never see in my life but i just need to see it from a different way and dont let nothing happened and ruing the change that i want to make because of just a problem. For example i think that nothing was going to change me and that i dont need to be shy anymore became i need to start seeing everything in a different ways because you can get mad at every one but you need to know what is going to happened after,

people may see you different but the only way that you know how to change is to do the best and don't let nothing or not body to change nothing about you. The way you want to change not one have that and can't do nothing about it because is your choice and your problems and you can decide what to do with it.

second of all can help you to understand how things work. For instance my mom have a lot of problems but she have faith when she is around people, my mom is scare of high and i'm not scare of high i did not understand why my mos is scare of high and in not scare of high and every time i see my mom in a airplane it make me laugh because she is scare and is funny, but i see it from a different way and i like the high but also she have to understand that hoe things work in other people because it can no be the same as you. For example i think that my mom and me are different because we are and i have to understand that she does not like high and i need to understand that. to help someone to understand how things work you need to start to see how things work in that persons life.

A problem is a change for you and can make you a different and help you to understand. Everyone has a different opinion and a different was to understand then others. everyone can see the different opinion and what other people think.",2.5,2.5,3.0,2.0,2.0,2.5
2,00299B378633,"Dear, Principal

If u change the school policy of having a grade b average that unfair. Because many students have a C average. So that means that they cant go out for sports or other activities they want to do bad. That's like taking everything they have. What if kids want to become good at something, but now they cant because of that school policy. If they have a C average they should still be able to go out for sports or activities. A C average isn't that bad, its higher then a D average. If the school police was if you have a D average of lower they shouldn't do sports or activities. If they have a D average in school for not working hard, that's means that they in ain't going to try hard. If they have a C average and there trying hard they should be able to out for sports or activities. What if all the good people in sports have a C average in school, that means that they cant play and were going to lose every game we have. That's a good policy to get grade's up but don't take away something they care about. Everyone should be able to go out for sports if they want to. If the school policy happens, schools going to be boarding now, because now students cant go out for sports or other activities. The students that are doing good in school should feel good about themselves but we shouldn't take the other students away from the others ones. If we do this policy student will try to raised their grade but if they cant what happens they them. Should they just be out of it and think that schools boarding. If they do this its like taking away their video games. All I'm saying is that they have the right to go out for sports or activities.",3.0,3.5,3.0,3.0,3.0,2.5
3,003885A45F42,"The best time in life is when you become yourself. I agree that the greatest accomplishment, is when you be yourself in a world that constantly trying to make you something else. Because you make your own choices, you become more happy, and you respect others.

First, you make your own choices by being yourself. Becoming yourself means that you should be able to make your own choices and not be shy or afraid of what you're doing. Because you're defining yourself by doing those things that you want. Some people follow others, therefore, they don't make their own choices. People are afraid to make their own choice because they don't want to get rejected or be wrong. In this world, most of the teenagers act and follow the people who are strong and bullies. The reason they follow them and make the same choices they make, is because they're afraid that they will get beaten up and be left out. Personally when I came to the United States I used to follow other, because I thought they were amazing. But one day, I knew I was walking in the wrong path and I left them. Making your own choices makes you happy because you get to do what you like and what you want to do. It's hard to make your own choices, but one day you're going to have to make your own choices. The more you mature the more it will become easier for you to not be afraid of what you're doing and how other people are looking at it, because at the end of the day It's your life and you do what you think is right.

Second, You become more happy by being yourself because you make your own choices, You take responsibilities and you do whatever makes you happy. Also, some people act like they're happy while not being themselves, but matter of fact, they're depressed from the inside. Being yourself makes you more happy because you feel like you achieved something big. Also, Some religious kids who become themselves love everyone. In the bible it says ""Those who know God should love others, because God is love.""

Not being yourself will get you depressed because you don't do everything you want to do, but you do what others wanna do because you want to fit in. Some kids who come from a different country will do stuff they don't want to do just to fit in, because they don't want to be lonely. Some people are afraid they won't be happy because they would lose a lot of friends for being themselves, but they have to know that those people should be there for them and support them for what he's doing since it's his friends.

Lastly, Respecting others will gain them to respect you. Some teenagers like to make fun of others, not listen to what they have to say, and they like to beat kids up. Also some kids don't like to not listen to their parents, and that is also disrespectful. The bible says "" Honor your father and mother.""

If you respect your parents and listen to them, then they would trust you and not ask you lots of questions. Respecting other should be really important, because you don't want others to not respect you. Also, Some people are disrespectful because they were never respected. Important things to do to be respectful is, Listen to what the other person has to say, Stand up for them, Being friends with them Doing all of that will gain you respect and you would have good friends. Also, if you see someone bullying a kid don't watch, and stand up for them, don't be afraid to stand up for someone because you're doing the right thing.

Some may disagree with me and say that it's not that big of a deal, and it doesn't feel like a big accomplishment. But with all do respect, I agree that it's a big accomplishment because nowadays it's really hard to become yourself.

In conclusion, It's hard to become yourself in this world, because others are holding that opportunity back from you and you're afraid to fight it back. That's why I agree that to be yourself in a world that is constantly trying to make you something else is the greatest accomplishment. ",4.5,4.5,4.5,4.5,4.0,5.0
4,0049B1DF5CCC,"Small act of kindness can impact in other people can change people to become better persons you can have an impact of kindess with a homeles that can change his life or with some who needed they are going to know you are a nice person if you are a nice person everywhere you go people is going to like your personality so you have to be a nice person with others like a old women triying to cross the road thats a impact of kindness when you do that you feel a greate person you can change people in the way they think by helping others treating nice other people give them some advice when you see someone need it help someone older then you give food and new clothes to a homeless person is a big act of kindess maybe you wount change his life but you would change one day of his life when you do thoose stuffs you feel emotional.

Another example of an act of kindess is when you help your friends to study for a test or explain them or when they need money you give some money is an act of kindess because you are helping your friend.

Another example is not trowing trash on the floor if you put the trash where belong that is an act of kindess because benefits the earth and the people.                                                                                                                                      ",2.5,3.0,3.0,3.0,2.5,2.5
5,004AC288D833,"Dear Principal,

Our school should have a community center. The reasons why, are so students can learn what our community needs, how to make our community better place, and why is community important for students to know. Its a great to have a community center to know how we can make things better.

Students think community center takes their time away. but they have to learn what our community needs. students will participate in a group of students making a list what our community needs, therefore students will learn what our community needs! students will present their list of things our community needs! due to that students will be giving extra credit for the ones who have low grades!

Some students don't participate because their friends say its waste of time. it would not be waste of time when you get to know how our community can be a better place for us. students should know that the program is about our own lives, because if our community is bad well our lives are going to be bad. due to that students will want to participate and will want to make our community a better place for us.

some student might say why is the community important anyways, were fine nothing is wrong. but when get to know what our community is, they would want to know about and would want to participate and know why is our community important. students will receive a good grade if they participate in this community because is like an extra credit. due to that their friends would want to enjoy the program because their friend told them about it.

so principal the community center will be a great place for students to learn lots of things. so i guess this will be a good idea for our school. students will learn what our community needs, how to make our community a better place, and why is our community important!

Sincerely, STUDENT_NAME",3.5,4.0,4.0,3.5,3.5,4.0
6,005661280443,"Imagine if you could prove other people that you are a good problem solver. Imagine that a problem is a good chance to do your best because youre a good problem solver, and you can learn something from that problem. I think that problems are a good chance to show people that youre good at something, and that they can seek your help if they need to. I agree that a problem is a good chance to do your best because you can learn from that problem, and prove yourself that you can do it.

You can learn from your problems, and that it enhances your skills. Learning from your problems can help enhance your techniques for problem solving. Learning from your problems can help you on other problems you might have on future occasions. Getting good at problem solving can lead you to helping other is they need the help from or they dont really know what to do. When you are good at problem solving and you seek to get better problem solving becomes easy for you because you have been doing it for a long time.

Proving yourself and others that you can be a good problem solver is an accomplishment. Being better at problem solving really comes in handy when youre trying to solve a problem or trying to figure something out. Proving yourself and other that you can be a good problem solver is an accomplishment. Whenever you help other people with a hard questions you feel accomplish because it was a hard question and you understood it while helping someone. Problem solving makes you smarter and you have to less work since you know what do and how to work out a hard problem.

I agree that a problem is a good chance to do your best and learn from problems that you struggled on the past to use the steps that you took to solve that problem and apply it to other problems that might come in the future. Learning from your problems can make you have better techniques, apply the steps that you took to solve problems, help other if they need it, and it makes work easy. Proving yourself that you can be a a good problem solver makes you be a good proving solver, prove that you can do any problem with out any help, and you can feel accomplished about it. Proving solving can make help you learn from problems and apply that to other problems and you can prove yourself and other that you are a good problem solver. ",3.5,4.0,3.5,3.5,4.0,4.0
7,008DDDDD8E8D,"I think it's a good idea for the estudnets to commit to a career at a young age. In addiction, the students are expected to identify a career they want and use the best for them. So the students can study in higt school and select to guide them to career in specific they want.

Fisrt, In high school all the students have diffents dream on the world. Some students dream to be a Doctor, arctecture, teacher, and nurse, ect. Is a good oportunity to have a good education and a make a good person and helpfull. Then, the students can have a better life and good jobs.

Sometimes the students in young age estared to think about what carrer is better for them. Others think what career is usefull to make a good money and have a better class social. But all the students think diferent the others and we have to respet they decicion about they future.

secondly, In my opinion is is good to think or dream in biger. In my potition my family do not have all lot of money to go to the university and pay for it. For example, some of my friends are a good Doctor and arquicteture, but the thing is when they want to be a good person a get better futures on their lifes. Usually, when we think about it , but is so dificul to do it.

Thirt, students in the school have special classes to go with a career. all the people have the oportunity to think about, which want to study and where they go too. But some students cann't go to study the career they want ,because some of them have to work and pay bill in their hause. usually some of them have everything in the house and the only thing they have to do is study and make sure they work to complite all of the school and can go to study that set.

In conclution,

is a good idea to know what you want to study in young age. Also to be responsable all the things and have a great time of the life to think what is make you happy when you grew up. One day a want to be doctor of the animals. that will be make me happy.                          ",2.5,2.5,2.5,2.5,2.5,2.0
8,009BCCC61C2A,"positive attitude is the key to success. I agree because you can do anything as long as you put your mind and soul into it and motivation you can accomplish it. Then so by doing it you feel good about yourself you'll feel unstable. But do what brings the best in you, what makes you yourself.

One way that importance of attitude is key to success is it motivates you to keep going forward. For example when you come across some difficulties you wont feel discouraged because your the limit and none other then you can or will change it. But the more discouraged you tend to feel at that moment you would wanna overcome it even if it makes whatever just as long as your mind is set to positive attitude you will accomplish it. Then so always remember what you put your mind to such as determination, positive attitude, willing you can its possible you will reach your goals. However you will with a positive mindset have a strong determination and you will build up self confidence in yourself.

Then another reason is to grow individually with hard work. Positive attitude isen't quite the easiest for some people its really difficult for others to learn how to or even if they are willing to. But others tend to not always have positive attitude in anything they're just negative and havent tried to give their all they are stuck upon what others think. Then about what really is,you just have to not listen to what anyone thinks and focus on what you can accomplish because if you dont you will let them reflect on you but you dont want that for yourself. Then there's always going to be that one negative person to try to bring you down its up to you if you let it effect you. Just ignore them if you dont you will bet it affect you and you dont wanna fall back just because of others. With that being said in order to move forward you have to go though things individually but thats were you find yourself again and makes you stronger then before what your weaknesses were there not anymore because when facing things individually you blossom to a beatifull flower with of course hard work and it isen't in vane because hard work ends up having a good result for positive attitude.

Next reason is to build selfcondifence. When having a positive mindset and most impotently willing we then build selfcondience our mind is a battlefield and we control it and its not about the selfcondicence its more about determination ourselves to it like we can or we will do it. After that its all depending on us weather we want to or not. Then after that the more we practice being positive in our battle fild the more selfcondidence we will have.

So then i hardly agree on positive attitude can guide you to succeed in life its all about three things determination willing and believing with those in mind you can tell all the negitive thoughts to go flying out the window because it has no door to let it in anymore. I truly incuage you to try it out if you want to see a big improvement to succeed in your life. Thank you for hearing me weather I agreed or disagreed,looking to hear back from you soon.",3.0,3.0,3.5,3.5,3.0,3.0
9,009F4E9310CB,"Asking more than one person for and advice help you take a strong choice? seeking for multiple opinions can help someone make a better choice. Example presidential election,requires someone opinion and choosing a restaurant to eat at and place to visit. Theres good and bad opinion but pick one or two or more but choose one the help you make a great decision.

First many us citizen are required to vote. Many of them would have different opinion about who is the best candidates. Positive and negative opinions would be circulating about the candidates but you can ask more than person what they think about the candidates there be interesting opinion and some not so interesting think about what the many opinion you hear and think about the one the got you thinking the most.

on the other hand lots of people love going out to eat. Many people try new places to eat at some may hear good or bad opinion about a place but until you try it you can't tell your self is great or bad. Sometimes Google lets you see other people opinion the other people leaved about a certain place. to be honest my dad does this sometimes he goes online and search is up the place and then looks at the rate the place have and the comment as a result of the deadly corovirus (Covid-19) lots of people have decide not to travel. But theres certain people that just love to travel many of the occasion people travel to a place because they hear good thing about a place. for example thats how me and my family hear of Lego land my aunt tell my dad that this place was so amazing me and my family we have been a big fan o Lego and we really dint know this place existed.

finally sometimes people have positive and negative opinion about something or someone but is you job to find out the one the makes you fell like ""this is the one"" many people there own believed thats why you may hear different opinion. Have you ever ask for more than one opinions? i actually have that was went i was't sure which suit to put in a red or black suit so ask my mom dad ans sister they tell me the best suit was the black one.    ",3.0,3.0,3.5,2.5,3.0,2.5
